t,Date,XOM,CVX,COP,EOG
143,8/10/16,86.410004,100.139999,40.599998,89.41999799999999
144,8/11/16,86.720001,101.400002,41.389998999999996,90.279999
145,8/12/16,87.849998,102.160004,41.369999,91.199997
146,8/15/16,87.809998,102.769997,42.18,90.550003
147,8/16/16,87.91999799999999,102.620003,42.860001000000004,90.260002
148,8/17/16,88.110001,102.220001,43.200001,90.220001
149,8/18/16,88.910004,103.550003,43.59,91.730003
150,8/19/16,87.800003,102.32,43.32,91.760002
151,8/22/16,87.989998,101.940002,42.630001,91.16999799999999
152,8/23/16,87.720001,101.68,43.220001,91.209999
153,8/24/16,88.019997,102.199997,42.959998999999996,90.730003
154,8/25/16,87.459999,101.889999,42.779999,90.25
155,8/26/16,87.269997,101.32,42.299999,90.18
156,8/29/16,87.839996,102.050003,42.349998,91.139999
157,8/30/16,87.519997,101.699997,42.23,90.07
158,8/31/16,87.139999,100.58000200000001,41.049999,88.489998
159,9/1/16,86.839996,100.209999,40.599998,88.550003
160,9/2/16,87.41999799999999,100.93,40.919998,88.910004
161,9/6/16,88.57,102.43,41.0,94.83000200000001
162,9/7/16,88.239998,102.879997,41.48,94.32
163,9/8/16,89.050003,104.120003,43.279999,95.43
164,9/9/16,86.839996,101.269997,42.25,92.650002
165,9/12/16,87.290001,102.25,42.669998,92.980003
166,9/13/16,85.209999,99.43,41.009997999999996,90.400002
167,9/14/16,84.599998,98.41999799999999,39.990002000000004,88.449997
168,9/15/16,85.08000200000001,99.5,40.029999,90.949997
169,9/16/16,84.029999,97.839996,39.869999,90.970001
170,9/19/16,83.83000200000001,98.040001,39.279999,90.050003
171,9/20/16,82.540001,97.699997,39.009997999999996,90.400002
172,9/21/16,83.300003,99.629997,40.060001,93.519997
173,9/22/16,83.540001,99.980003,41.02,92.610001
174,9/23/16,83.449997,99.220001,39.939999,89.75
175,9/26/16,83.059998,98.779999,40.02,89.260002
176,9/27/16,83.239998,98.980003,39.43,88.559998
177,9/28/16,86.900002,102.150002,42.18,93.959999
178,9/29/16,86.459999,101.269997,43.66,95.050003
179,9/30/16,87.279999,102.91999799999999,43.470001,96.709999
180,10/3/16,87.050003,102.449997,43.43,96.110001
181,10/4/16,86.25,101.269997,42.869999,95.139999
182,10/5/16,87.0,102.230003,43.91,97.379997
183,10/6/16,87.040001,102.18,44.52,97.139999
184,10/7/16,86.739998,102.269997,44.220001,96.440002
185,10/10/16,88.440002,103.980003,44.389998999999996,97.290001
186,10/11/16,87.739998,103.040001,43.330002,96.050003
187,10/12/16,87.129997,102.150002,43.470001,96.300003
188,10/13/16,86.559998,100.790001,42.150002,95.5
189,10/14/16,86.540001,101.08000200000001,41.669998,94.480003
190,10/17/16,86.540001,101.360001,41.099998,93.779999
191,10/18/16,86.769997,101.790001,40.650002,93.129997
192,10/19/16,87.16999799999999,102.269997,41.720001,95.059998
193,10/20/16,87.209999,101.870003,41.490002000000004,94.910004
194,10/21/16,86.620003,101.300003,41.540001000000004,93.879997
195,10/24/16,86.910004,100.660004,42.240002000000004,93.620003
196,10/25/16,86.720001,100.769997,41.810001,92.66999799999999
197,10/26/16,87.089996,101.190002,41.799999,92.139999
198,10/27/16,86.91999799999999,99.91999799999999,44.0,91.739998
199,10/28/16,84.779999,103.82,44.970001,90.800003
200,10/31/16,83.32,104.75,43.450001,90.41999799999999
201,11/1/16,83.650002,106.480003,43.540001000000004,91.160004
202,11/2/16,83.449997,105.389999,43.23,90.940002
203,11/3/16,83.660004,105.389999,43.599998,92.08000200000001
204,11/4/16,83.57,104.779999,42.759997999999996,91.800003
205,11/7/16,85.449997,106.849998,43.919998,93.43
206,11/8/16,85.309998,107.290001,44.330002,93.360001
207,11/9/16,86.25,107.639999,45.73,93.43
208,11/10/16,87.050003,107.790001,44.779999,92.629997
209,11/11/16,85.66999799999999,106.639999,43.939999,91.410004
210,11/14/16,85.279999,106.589996,44.130001,92.68
211,11/15/16,86.82,108.959999,45.279999,94.57
212,11/16/16,85.75,108.349998,44.380001,95.220001
213,11/17/16,85.230003,108.120003,43.610001000000004,92.339996
214,11/18/16,85.279999,109.199997,44.759997999999996,93.150002
215,11/21/16,86.489998,110.18,46.360001000000004,95.66999799999999
216,11/22/16,86.68,110.620003,46.07,95.269997
217,11/23/16,86.91999799999999,111.0,46.299999,97.0
218,11/25/16,87.120003,111.0,45.75,95.980003
219,11/28/16,86.470001,110.5,45.5,93.470001
220,11/29/16,85.900002,109.339996,44.23,92.440002
221,11/30/16,87.300003,111.559998,48.52,102.519997
222,12/1/16,87.239998,113.290001,48.220001,104.75
223,12/2/16,87.040001,113.0,48.119999,103.739998
224,12/5/16,87.480003,113.25,48.880001,104.459999
225,12/6/16,87.559998,112.760002,49.900002,103.970001
226,12/7/16,88.07,114.440002,49.900002,103.529999
227,12/8/16,88.32,115.16999799999999,49.779999,104.93
228,12/9/16,89.0,115.809998,50.77,106.449997
229,12/12/16,90.980003,117.150002,51.380001,105.83000200000001
230,12/13/16,92.58000200000001,117.41999799999999,52.639998999999996,108.010002
231,12/14/16,90.58000200000001,115.959999,51.490002000000004,104.209999
232,12/15/16,90.889999,117.050003,51.740002000000004,103.91999799999999
233,12/16/16,91.18,118.08000200000001,51.939999,104.0
234,12/19/16,90.41999799999999,117.650002,51.98,103.480003
235,12/20/16,90.43,117.949997,51.549999,103.160004
236,12/21/16,90.279999,117.910004,51.48,102.550003
237,12/22/16,90.870003,118.769997,51.540001000000004,103.129997
238,12/23/16,90.709999,118.41999799999999,51.369999,102.029999
239,12/27/16,90.75,118.220001,51.599998,102.540001
240,12/28/16,90.300003,117.910004,50.77,101.650002
241,12/29/16,90.349998,117.82,50.540001000000004,101.279999
242,12/30/16,90.260002,117.699997,50.139998999999996,101.099998
243,1/3/17,90.889999,117.849998,50.610001000000004,103.540001
244,1/4/17,89.889999,117.82,51.080002,103.620003
245,1/5/17,88.550003,117.309998,50.93,104.18
246,1/6/17,88.5,116.839996,50.740002000000004,105.209999
247,1/9/17,87.040001,115.839996,49.66,103.019997
248,1/10/17,85.93,114.959999,49.66,103.400002
249,1/11/17,86.809998,115.93,51.220001,104.91999799999999
250,1/12/17,86.339996,116.160004,50.150002,105.370003
251,1/13/17,86.349998,116.379997,50.59,105.389999
252,1/17/17,87.360001,116.279999,50.150002,105.480003
253,1/18/17,86.279999,115.940002,50.27,105.400002
254,1/19/17,84.730003,115.58000200000001,49.860001000000004,105.190002
255,1/20/17,85.889999,115.599998,50.73,105.470001
256,1/23/17,84.970001,115.389999,49.939999,103.459999
257,1/24/17,85.089996,116.370003,50.27,103.68
258,1/25/17,85.339996,117.239998,50.689999,103.900002
259,1/26/17,85.599998,116.550003,50.630001,104.389999
260,1/27/17,85.510002,113.790001,49.43,102.900002
261,1/30/17,84.860001,111.82,47.48,101.199997
262,1/31/17,83.889999,111.349998,48.759997999999996,101.58000200000001
263,2/1/17,82.940002,111.0,48.5,101.0
264,2/2/17,83.449997,112.209999,48.689999,99.709999
265,2/3/17,83.540001,113.57,50.43,100.940002
266,2/6/17,83.309998,112.980003,50.09,99.699997
267,2/7/17,82.769997,111.389999,49.419998,97.190002
268,2/8/17,81.480003,111.58000200000001,49.599998,98.139999
269,2/9/17,81.839996,112.260002,49.810001,99.809998
270,2/10/17,82.519997,113.050003,50.139998999999996,101.440002
271,2/13/17,83.0,113.910004,49.700001,100.349998
272,2/14/17,82.82,112.519997,50.139998999999996,101.230003
273,2/15/17,83.160004,112.57,49.360001000000004,100.75
274,2/16/17,82.300003,110.68,48.34,100.16999799999999
275,2/17/17,81.760002,110.33000200000001,47.509997999999996,99.029999
276,2/21/17,81.889999,111.720001,48.130001,99.470001
277,2/22/17,80.93,110.379997,47.099998,97.529999
278,2/23/17,81.779999,111.019997,47.299999,97.57
279,2/24/17,81.08000200000001,110.120003,47.040001000000004,96.300003
280,2/27/17,81.540001,111.75,47.360001000000004,97.910004
281,2/28/17,81.32,112.5,47.57,96.989998
282,3/1/17,83.019997,113.879997,49.049999,100.050003
283,3/2/17,83.300003,113.360001,48.209998999999996,98.470001
284,3/3/17,82.459999,113.550003,47.82,98.57
285,3/6/17,82.83000200000001,113.16999799999999,48.32,100.07
286,3/7/17,82.519997,111.809998,47.720001,99.529999
287,3/8/17,81.029999,109.610001,45.91,94.83000200000001
288,3/9/17,81.66999799999999,110.040001,46.48,95.699997
289,3/10/17,81.610001,110.610001,45.669998,94.790001
290,3/13/17,81.41999799999999,109.349998,45.84,94.949997
291,3/14/17,80.989998,107.360001,44.939999,94.589996
292,3/15/17,82.0,108.879997,45.84,97.059998
293,3/16/17,82.07,107.860001,45.84,95.83000200000001
294,3/17/17,82.0,107.68,45.689999,96.43
295,3/20/17,82.0,107.660004,45.860001000000004,96.220001
296,3/21/17,81.83000200000001,108.040001,45.18,94.529999
297,3/22/17,81.760002,108.389999,44.650002,94.650002
298,3/23/17,81.860001,107.870003,44.48,94.809998
299,3/24/17,81.230003,107.989998,44.099998,94.860001
300,3/27/17,81.25,106.279999,44.290001000000004,93.379997
301,3/28/17,81.839996,107.16999799999999,45.380001,95.290001
302,3/29/17,82.019997,108.07,45.950001,97.0
303,3/30/17,83.699997,107.779999,50.0,97.16999799999999
304,3/31/17,82.010002,107.370003,49.869999,97.550003
305,4/3/17,82.07,107.800003,49.450001,96.959999
306,4/4/17,82.370003,108.660004,49.73,98.25
307,4/5/17,82.529999,108.639999,49.110001000000004,97.58000200000001
308,4/6/17,83.010002,109.290001,49.810001,98.050003
309,4/7/17,82.760002,108.860001,49.540001000000004,97.360001
310,4/10/17,83.129997,109.43,50.150002,98.57
311,4/11/17,82.839996,108.970001,50.150002,97.879997
312,4/12/17,82.970001,108.970001,49.439999,97.489998
313,4/13/17,81.690002,106.099998,48.619999,95.639999
314,4/17/17,81.58000200000001,106.16999799999999,48.950001,95.739998
315,4/18/17,81.050003,105.68,48.689999,94.83000200000001
316,4/19/17,80.489998,104.230003,48.0,93.290001
317,4/20/17,81.010002,104.879997,47.950001,93.300003
318,4/21/17,80.690002,104.889999,47.740002000000004,93.58000200000001
319,4/24/17,81.110001,105.93,47.91,93.739998
320,4/25/17,81.730003,106.730003,48.790001000000004,95.269997
321,4/26/17,81.400002,106.08000200000001,48.34,94.309998
322,4/27/17,81.260002,105.470001,47.860001000000004,93.0
323,4/28/17,81.650002,106.699997,47.91,92.5
324,5/1/17,82.059998,105.91999799999999,47.48,92.029999
325,5/2/17,82.050003,105.360001,46.700001,91.870003
326,5/3/17,82.699997,106.720001,47.080002,91.760002
327,5/4/17,81.639999,104.809998,45.919998,88.599998
328,5/5/17,82.019997,105.790001,46.77,90.879997
329,5/8/17,82.889999,106.68,47.130001,91.690002
330,5/9/17,82.309998,105.08000200000001,46.27,91.639999
331,5/10/17,81.910004,106.5,47.610001000000004,94.540001
332,5/11/17,82.610001,106.209999,47.419998,94.279999
333,5/12/17,82.550003,105.959999,46.970001,94.699997
334,5/15/17,82.800003,106.849998,47.439999,94.730003
335,5/16/17,82.550003,107.25,47.130001,93.83000200000001
336,5/17/17,81.989998,104.699997,46.41,92.949997
337,5/18/17,81.75,105.16999799999999,46.419998,91.690002
338,5/19/17,81.93,106.519997,47.48,93.809998
339,5/22/17,82.290001,106.120003,46.93,93.110001
340,5/23/17,82.58000200000001,106.269997,46.759997999999996,92.529999
341,5/24/17,82.290001,106.220001,46.669998,92.66999799999999
342,5/25/17,81.75,105.110001,45.049999,91.019997
343,5/26/17,81.550003,104.720001,45.349998,91.220001
